,Hotel Name,Address,Rating (5),Price (2)
420,Middle Of No Where,WM West Chennai,4.1,1200
421,Writer's Cafe,CT South West Chennai,4.5,800
422,Sandwich Square,"SB Nagar, South Chennai",4.1,600
423,The Great Kabab Factory,"FR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.4,3000
424,Boats,"BB Nagar, South Chennai",4.0,1900
425,Jonah's Bistro,"BB Nagar, South Chennai",4.1,1400
426,Dindigul Thalappakatti,"TB Nagar, South Chennai",4.0,1000
427,A,"AB - Absolute BarbecuesPorur, West Chennai",4.2,1600
428,Atte - Glocal Cafe,"CB Nagar, South Chennai",4.0,500
429,Royal Sandwich,SA Central Chennai,0.0,300
430,Blu Hickey Bistro,"BR Blu GRT Hotel,St. Thomas Mount, West Chennai",4.4,2000
431,Cookie Man,"MP Market City,Velachery, South West Chennai",2.0,300
432,The Cascade,"CB Nagar, South Chennai",4.2,800
433,The Kati Roll Shop,"SB Nagar, South Chennai",4.0,500
